,TP,TN,FP,FN,ACC,TPR,FPR
346,2803,3361,3407,2643,0.5046667758310136,0.5146896804994492,0.5033983451536643
347,2801,3276,3369,2768,0.49754380219420336,0.5029628299515173,0.5069977426636569
348,2663,3394,3433,2724,0.495906336990339,0.4943382216447002,0.5028563058444412
349,2715,3496,3356,2647,0.508514819060095,0.5063409175680716,0.4897840046701693
350,2729,3393,3331,2761,0.5012280989028983,0.4970856102003643,0.4953896490184414
351,2671,3358,3453,2732,0.49361388570492876,0.4943549879696465,0.5069740126266334
352,2729,3412,3331,2742,0.5027836908465695,0.4988119173825626,0.4939937713184043
353,2667,3433,3401,2713,0.49942688717864747,0.49572490706319705,0.49765876499853673
354,2670,3420,3468,2656,0.49860815457671526,0.501314307172362,0.5034843205574913
355,2780,3383,3340,2711,0.5045849025708203,0.506283008559461,0.4968020229064406
356,2748,3414,3318,2734,0.5045030293106272,0.501276906238599,0.4928698752228164
357,2765,3368,3344,2737,0.5021287047650237,0.5025445292620865,0.49821215733015495
358,2703,3463,3360,2688,0.5048305223514,0.5013912075681691,0.4924520005862524
359,2731,3451,3342,2690,0.5061404945144916,0.5037815901125253,0.4919770351832769
360,2634,3407,3462,2711,0.49459636482724745,0.4927970065481759,0.5040034939583636
361,2766,3401,3310,2737,0.5049123956115933,0.5026349264037797,0.49322008642527193
362,2675,3407,3338,2794,0.49795316849516946,0.4891204973486926,0.494885100074129
363,2726,3437,3361,2690,0.5045849025708203,0.5033234859675036,0.49441012062371287
364,2698,3377,3384,2755,0.49738005567381693,0.49477351916376305,0.5005176749001627
365,2747,3372,3421,2674,0.5009824791223186,0.5067330750783988,0.5036066539084352
366,2689,3425,3401,2699,0.5005731128213525,0.49907201187824796,0.4982420158218576
367,2678,3323,3439,2774,0.4913214344195186,0.4911958914159941,0.5085773439810707
368,2716,3371,3341,2786,0.49836253479613557,0.49363867684478374,0.4977651966626937
369,2751,3382,3397,2684,0.5021287047650237,0.506163753449862,0.5011063578698923
370,2709,3433,3414,2658,0.5028655641067628,0.504751257685858,0.49861253103548997
371,2705,3415,3387,2707,0.5010643523825119,0.4998152254249815,0.4979417818288739
372,2703,3437,3315,2759,0.5027018175863763,0.4948736726473819,0.4909656398104265
373,2705,3351,3420,2738,0.4958244637301457,0.4969685835017454,0.5050952591936199
374,2663,3441,3415,2695,0.4997543802194203,0.4970138111235536,0.49810385064177365
